CourseCode,Department,SBERT_Similarity,ILO_Count
PSPR39,Psykologiska institutionen,0.5902919284999371,4.0
UM3009,Institutionen för ämnesdidaktik,0.8543648620446523,3.0
UM3008,Institutionen för ämnesdidaktik,0.8655404249827067,3.0
USVF2Ä,Institutionen för ämnesdidaktik,0.6343671296324048,7.0
YP27LÄ,Institutionen för pedagogik och didaktik,0.6788714726765951,6.0
YP28LÄ,Institutionen för pedagogik och didaktik,0.6350495457649231,5.0
YP028U,Institutionen för pedagogik och didaktik,0.6350495457649231,5.0
JU216B,Juridiska institutionen,0.6478086958328882,9.0
JU400A,Juridiska institutionen,0.601097298519952,7.0
JU60FF,Juridiska institutionen,0.7372157126665115,4.0
HVVFÄ2,Institutionen för ämnesdidaktik,0.6343671296324048,7.0
UMT500,Institutionen för ämnesdidaktik,0.5350840155567441,7.0
UB607Y,Barn- och ungdomsvetenskapliga institutionen,0.827631026506424,5.0
MT401U,Matematiska institutionen,0.6436938568949699,4.0
UCG40K,Institutionen för pedagogik och didaktik,0.7598585277795792,10.0
BL7058,Institutionen för biologisk grundutbildning (BIG),0.7241658642888069,4.0
UCSY04,Institutionen för pedagogik och didaktik,0.8358966807524363,3.0
UCSY03,Institutionen för pedagogik och didaktik,0.776078388094902,2.0
UCSY02,Institutionen för pedagogik och didaktik,0.8433031141757965,2.0
UCSY01,Institutionen för pedagogik och didaktik,0.7889708280563354,3.0
UB707Y,Barn- och ungdomsvetenskapliga institutionen,0.579307171702385,5.0
UB216A,Barn- och ungdomsvetenskapliga institutionen,0.7989864706993103,5.0
UCSY05,Institutionen för pedagogik och didaktik,0.8310308953126272,3.0
UCSY06,Institutionen för pedagogik och didaktik,0.701552132765452,3.0
UCSY07,Institutionen för pedagogik och didaktik,0.8051047846674919,4.0
UCSY08,Institutionen för pedagogik och didaktik,0.723704606294632,3.0
USVF2H,Institutionen för ämnesdidaktik,0.63271221944264,7.0
UCSY09,Institutionen för pedagogik och didaktik,0.7003706991672516,3.0
UCSY11,Institutionen för pedagogik och didaktik,0.7738003333409628,3.0
UM801U,Institutionen för ämnesdidaktik,0.6961784561475118,9.0
UCG03U,Institutionen för pedagogik och didaktik,0.7178009947141012,6.0
HVUVF2,Institutionen för ämnesdidaktik,0.6869566291570663,10.0
HVÄUL1,Institutionen för ämnesdidaktik,0.7512494623661041,3.0
HVÄVF2,Institutionen för ämnesdidaktik,0.63271221944264,7.0
US9V1U,Institutionen för ämnesdidaktik,0.6332555668694633,7.0
US92VU,Institutionen för ämnesdidaktik,0.6931534343295627,9.0
HVUVF3,Institutionen för ämnesdidaktik,0.708649155166414,9.0
BL3009,Institutionen för biologisk grundutbildning (BIG),0.7323338265220324,6.0
LVL19U,Institutionen för kultur och estetik,0.76361283659935,3.0
JU670A,Juridiska institutionen,0.7149328490098318,3.0
JU675A,Juridiska institutionen,0.7382278208221708,7.0
JU675B,Juridiska institutionen,0.7382278208221708,7.0
JU676A,Juridiska institutionen,0.7243355810642242,4.0
JU672A,Juridiska institutionen,0.7252439677715301,5.0
JU672F,Juridiska institutionen,0.7185483455657959,5.0
UB457F,Barn- och ungdomsvetenskapliga institutionen,0.6969092130661011,5.0
UB08VZ,Barn- och ungdomsvetenskapliga institutionen,0.6337759256362915,5.0
UM4045,Institutionen för ämnesdidaktik,0.8025785734256109,6.0
UM4046,Institutionen för ämnesdidaktik,0.8025785734256109,6.0
UCSY12,Institutionen för pedagogik och didaktik,0.7413631021976471,5.0
USVF3G,Institutionen för ämnesdidaktik,0.6540738493204117,10.0
UCSY18,Institutionen för pedagogik och didaktik,0.7342138985792795,3.0
LVL20U,Institutionen för kultur och estetik,0.8170547584692637,3.0
UC475U,Institutionen för pedagogik och didaktik,0.7184685667355856,3.0
UM202U,Institutionen för ämnesdidaktik,0.8398542205492655,3.0
UM202V,Institutionen för ämnesdidaktik,0.8398542205492655,3.0
UM203V,Institutionen för ämnesdidaktik,0.7980698421597481,4.0
UM501U,Institutionen för ämnesdidaktik,0.8252411087354025,6.0
UB13VU,Barn- och ungdomsvetenskapliga institutionen,0.8331398814916611,6.0
SUKSO2,Institutionen för socialt arbete,0.7402995725472769,3.0
SUKSO3,Institutionen för socialt arbete,0.6893218874931335,5.0
PSPR40,Psykologiska institutionen,0.7341693490743637,4.0
PSPR41,Psykologiska institutionen,0.635699275881052,4.0
PSPR42,Psykologiska institutionen,0.5843282416462898,4.0
PSPR43,Psykologiska institutionen,0.5662094727158546,6.0
PSPR44,Psykologiska institutionen,0.6706831157207489,6.0
